timeNode0,bufferSizeNode0,timeNode7,bufferSizeNode7,timeNode6,bufferSizeNode6,timeNode2,bufferSizeNode2,timeNode1,bufferSizeNode1,timeNode5,delayNode5
0.8985603885,1,1.898660388,1,2.898760388,1,1.859604212,1,2.859704212,1,3.898860388,3.0003
0.8985603885,0,1.898660388,0,2.898760388,0,1.859604212,0,2.859704212,0,4.898860388,3.077076869
1.82178352,1,2.898660388,1,3.898760388,1,2.646805352,1,3.859704212,1,6.773628856,3.0003
1.898560388,0,2.898660388,0,3.898760388,0,2.859604212,0,3.859704212,0,7.773628856,5.914024644
3.773328856,1,4.773428856,1,5.773528856,1,4.525769406,1,5.525869406,1,8.773628856,4.449251513
3.773328856,0,4.773428856,0,5.773528856,0,4.525769406,0,5.525869406,0,9.773628856,7.126823504
3.859804212,1,5.773428856,1,6.773528856,1,5.563928707,1,6.564028707,1,10.77362886,5.472245087
4.324377343,2,5.773428856,0,6.773528856,0,5.563928707,0,6.564028707,0,11.77362886,5.987116923
4.773328856,1,6.773428856,1,7.773528856,1,6.139447904,1,7.564028707,1,12.77362886,6.633957784
4.859804212,2,6.773428856,0,7.773528856,0,6.563928707,0,7.564028707,0,13.77362886,7.575573115
5.301383769,3,7.773428856,1,8.773528856,1,8.362972326,1,9.363072326,1,14.77362886,10.24785945
5.773328856,2,7.773428856,0,8.773528856,0,8.362972326,0,9.363072326,0,15.77362886,10.20970015
5.786511933,3,8.773428856,1,9.773528856,1,8.681328467,1,10.36307233,1,16.77362886,10.63418095
6.139671072,4,8.773428856,0,9.773528856,0,9.164930572,2,10.36307233,0,17.77362886,8.260660835
6.198055741,5,9.773428856,1,10.77352886,1,9.362972326,1,11.36307233,1,18.77362886,10.41065653
6.525969406,6,9.773428856,0,10.77352886,0,9.81437692,2,11.36307233,0,19.77362886,8.691764717
6.773328856,5,10.77342886,1,11.77352886,1,10.36297233,1,12.36307233,1,20.77362886,12.09230039
7.564128707,6,10.77342886,0,11.77352886,0,11.36297233,0,12.36307233,0,21.77362886,9.939090604
7.773328856,5,11.77342886,1,12.77352886,1,11.48658812,1,13.36307233,1,22.77362886,13.60869828
8.564128707,6,11.77342886,0,12.77352886,0,12.14047069,2,13.36307233,0,23.77362886,11.09965775
8.773328856,5,12.77342886,1,13.77352886,1,12.36297233,1,14.36307233,1,24.77362886,14.95925194
9.512968021,6,12.77342886,0,13.77352886,0,12.6393427,2,14.36307233,0,25.77362886,14.28704074
9.773328856,5,13.77342886,1,14.77352886,1,13.36297233,1,15.36307233,1,26.77362886,12.29128849
10.36317233,6,13.77342886,0,14.77352886,0,14.36297233,0,15.36307233,0,27.77362886,13.21760313
10.77332886,5,14.77342886,1,15.77352886,1,15.23759678,1,16.36307233,1,28.77362886,13.80602514
11.08186414,6,14.77342886,0,15.77352886,0,15.25802237,2,16.36307233,0,29.77362886,14.71486411
11.36317233,7,15.77342886,1,16.77352886,1,15.36297233,1,17.36307233,1,30.77362886,18.63315817
11.77332886,6,15.77342886,0,16.77352886,0,15.71727051,2,17.36307233,0,31.77362886,15.6702516
11.83453825,7,16.77342886,1,17.77352886,1,16.36297233,1,18.36307233,1,32.77362886,20.13428616
12.36317233,8,16.77342886,0,17.77352886,0,17.36297233,0,18.36307233,0,33.77362886,18.53603207
12.6739711,9,17.77342886,1,18.77352886,1,17.50475817,1,19.36307233,1,34.77362886,19.51560649
12.77332886,8,17.77342886,0,18.77352886,0,18.36297233,0,19.36307233,0,35.77362886,16.52008167
13.36317233,9,18.77342886,1,19.77352886,1,19.01054243,1,20.36307233,1,36.77362886,21.05635835
13.77332886,8,18.77342886,0,19.77352886,0,19.16177328,2,20.36307233,0,37.77362886,20.26887068
14.36317233,9,19.77342886,1,20.77352886,1,19.36297233,1,21.36307233,1,38.77362886,17.47918946
14.48234037,10,19.77342886,0,20.77352886,0,20.36297233,0,21.36307233,0,39.77362886,20.76308643
14.55602572,11,20.77342886,1,21.77352886,1,21.20208754,1,22.36307233,1,40.77362886,18.83748028
14.77332886,10,20.77342886,0,21.77352886,0,21.36297233,0,22.36307233,0,41.77362886,22.61185557
14.96760372,11,21.77342886,1,22.77352886,1,25.04730941,1,26.04740941,1,42.77362886,21.57154131
15.05876475,12,21.77342886,0,22.77352886,0,25.04730941,0,26.04740941,0,43.77362886,20.23224073
15.36317233,13,22.77342886,1,23.77352886,1,25.66623887,1,27.04740941,1,44.77362886,19.61823865
15.77332886,12,22.77342886,0,23.77352886,0,26.04730941,0,27.04740941,0,45.77362886,19.88327423
16.10337726,13,23.77342886,1,24.77352886,1,27.18277484,1,28.18287484,1,46.77362886,19.74733529
16.36317233,14,23.77342886,0,24.77352886,0,27.18277484,0,28.18287484,0,47.77362886,22.72631945
16.77332886,13,24.77342886,1,25.77352886,1,28.20420672,1,29.20430672,1,48.77362886,21.62146088
17.36317233,14,24.77342886,0,25.77352886,0,28.20420672,0,29.20430672,0,49.77362886,24.10738999
17.77332886,13,25.77342886,1,26.77352886,1,29.07652791,1,30.20430672,1,50.77362886,22.34623318
18.36317233,14,25.77342886,0,26.77352886,0,29.20420672,0,30.20430672,0,51.77362886,23.1915035
18.77332886,13,26.77342886,1,27.77352886,1,31.97094839,1,32.97104839,1,52.77362886,25.59085401
19.25354718,14,26.77342886,0,27.77352886,0,31.97094839,0,32.97104839,0,53.77362886,24.42066884
19.36317233,15,27.77342886,1,28.77352886,1,32.61264309,1,33.97104839,1,54.77362886,26.56942214
19.77332886,14,27.77342886,0,28.77352886,0,32.97094839,0,33.97104839,0,55.77362886,24.99930416
20.36317233,15,28.77342886,1,29.77352886,1,34.10089792,1,35.10099792,1,56.77362886,27.69710094
20.77332886,14,28.77342886,0,29.77352886,0,34.10089792,0,35.10099792,0,57.77362886,26.26147687
21.2944394,15,29.77342886,1,30.77352886,1,34.34494641,1,36.10099792,1,58.77362886,27.14953071
21.36317233,16,29.77342886,0,30.77352886,0,35.10089792,0,36.10099792,0,59.77362886,27.61396499
21.77332886,15,30.77342886,1,31.77352886,1,35.18528112,1,37.10099792,1,60.77362886,28.30668463
21.93614857,16,30.77342886,0,31.77352886,0,35.34741761,2,37.10099792,0,61.77362886,29.10048135
22.36317233,17,31.77342886,1,32.77352886,1,36.10089792,1,38.10099792,1,62.77362886,30.80268046
22.77332886,16,31.77342886,0,32.77352886,0,36.29441428,2,38.10099792,0,63.77362886,29.76519117
23.36317233,17,32.77342886,1,33.77352886,1,37.10089792,1,39.10099792,1,64.77362886,30.15610874
23.54138813,18,32.77342886,0,33.77352886,0,37.25396226,2,39.10099792,0,65.77362886,31.01083072
23.77332886,17,33.77342886,1,34.77352886,1,38.10089792,1,40.10099792,1,66.77362886,31.99186215
24.77332886,16,33.77342886,0,34.77352886,0,39.10089792,0,40.10099792,0,67.77362886,35.16098576
25.1553902,17,34.77342886,1,35.77352886,1,39.58287563,1,41.10099792,1,68.77362886,33.60009134
25.77332886,16,34.77342886,0,35.77352886,0,40.10089792,0,41.10099792,0,69.77362886,35.67273094
25.89035463,17,35.77342886,1,36.77352886,1,40.72801459,1,42.10099792,1,70.77362886,34.6387104
26.77332886,16,35.77342886,0,36.77352886,0,41.10089792,0,42.10099792,0,71.77362886,35.38726847
27.02629357,17,36.77342886,1,37.77352886,1,41.67750917,1,43.10099792,1,72.77362886,35.89871142
27.04750941,18,36.77342886,0,37.77352886,0,42.10089792,0,43.10099792,0,73.77362886,39.42868245
27.15216798,19,37.77342886,1,38.77352886,1,42.87361697,1,44.10099792,1,74.77362886,39.58834774
27.77332886,18,37.77342886,0,38.77352886,0,42.9781782,2,44.10099792,0,75.77362886,40.42621125
28.04750941,19,38.77342886,1,39.77352886,1,43.04029349,3,45.10099792,1,76.77362886,37.02079639
28.42739568,20,38.77342886,0,39.77352886,0,43.10089792,2,45.10099792,0,77.77362886,41.47921457
28.58212536,21,39.77342886,1,40.77352886,1,44.10089792,1,46.10099792,1,78.77362886,38.42305032
28.77332886,20,39.77342886,0,40.77352886,0,45.10089792,0,46.10099792,0,79.77362886,38.97753182
29.18297484,21,40.77342886,1,41.77352886,1,46.54050717,1,47.54060717,1,80.77362886,43.5196666
29.35296002,22,40.77342886,0,41.77352886,0,46.54050717,0,47.54060717,0,81.77362886,40.40299942
29.77332886,21,41.77342886,1,42.77352886,1,46.72793324,1,48.54060717,1,82.77362886,43.19075322
30.20440672,22,41.77342886,0,42.77352886,0,46.96413994,2,48.54060717,0,83.77362886,43.04561427
30.77332886,21,42.77342886,1,43.77352886,1,47.40754397,3,49.54060717,1,84.77362886,41.07664835
30.7743247,22,42.77342886,0,43.77352886,0,47.54050717,2,49.54060717,0,85.77362886,44.09611968
31.20440672,23,43.77342886,1,44.77352886,1,47.78650594,3,50.54060717,1,86.77362886,41.97773589
31.51215199,24,43.77342886,0,44.77352886,0,48.54050717,2,50.54060717,0,87.77362886,44.90001188
31.62409815,25,44.77342886,1,45.77352886,1,48.7225675,3,51.54060717,1,88.77362886,42.91890176
31.77332886,24,44.77342886,0,45.77352886,0,49.11568005,4,51.54060717,0,89.77362886,46.79545066
32.15966387,25,45.77342886,1,46.77352886,1,49.15486321,5,52.54060717,1,90.77362886,43.80830431
32.46694422,26,45.77342886,0,46.77352886,0,49.54050717,4,52.54060717,0,91.77362886,48.73333537
32.6731475,27,46.77342886,1,47.77352886,1,49.73218752,5,53.54060717,1,92.77362886,45.67027562
32.77332886,26,46.77342886,0,47.77352886,0,50.54050717,4,53.54060717,0,93.77362886,45.28123293
33.77332886,25,47.77342886,1,48.77352886,1,50.73805853,5,54.54060717,1,94.77362886,48.23312168
33.97114839,26,47.77342886,0,48.77352886,0,51.54050717,4,54.54060717,0,95.77362886,46.82913087
34.00843769,27,48.77342886,1,49.77352886,1,52.54050717,3,55.54060717,1,96.77362886,50.04569562
34.61752011,28,48.77342886,0,49.77352886,0,53.54050717,2,55.54060717,0,97.77362886,47.98470308
34.76279814,29,49.77342886,1,50.77352886,1,53.93100517,3,56.54060717,1,98.77362886,51.80948891
